circuit_id,name,location,country,latitude,longitude,aliases
circuit-de-barcelona-catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.2611,"Circuit de Catalunya , Montmeló;Circuit de Barcelona-Catalunya , Montmeló"
madring,Madring,Madrid,Spain,40.42,-3.71,"Madring , Madrid"
valencia-street-circuit,Valencia Street Circuit,Valencia,Spain,39.4589,-0.3313,"Valencia Street Circuit , Valencia"
istanbul-park,Istanbul Park,Istanbul,Turkey,40.9517,29.405,"Istanbul Park , Istanbul;Istanbul Park , Tuzla"
yas-marina-circuit,Yas Marina Circuit,Abu Dhabi,United Arab Emirates,24.4672,54.6031,"Yas Marina Circuit , Abu Dhabi"
silverstone-circuit,Silverstone Circuit,Silverstone,United Kingdom,52.0786,-1.0169,"Silverstone Circuit , Silverstone"
circuit-of-the-americas,Circuit of the Americas,"Austin, Texas",United States,30.1328,-97.6411,"Circuit of the Americas , Austin, Texas;Circuit of the Americas , Austin , Texas"
indianapolis-motor-speedway,Indianapolis Motor Speedway,Speedway,United States,39.795,-86.2347,"Indianapolis Motor Speedway , Speedway"
las-vegas-strip-circuit,Las Vegas Strip Circuit,"Paradise, Nevada",United States,36.1147,-115.1728,"Las Vegas Strip Circuit , Paradise, Nevada"
miami-international-autodrome,Miami International Autodrome,"Miami Gardens, Florida",United States,25.9581,-80.2389,"Miami International Autodrome , Miami Gardens, Florida"
